nombre,temporada,posicion,edad,partidos,goles,asistencias,pases_precisos,rating,etiqueta
Carlos Tevez,2018,Attacker,34.0,25.0,13.0,4.0,72.0,7.8,1
Carlos Tevez,2019,Attacker,35.0,20.0,10.0,3.0,70.0,7.5,1
Dario Benedetto,2018,Attacker,27.0,30.0,19.0,5.0,68.0,7.9,1
Dario Benedetto,2019,Attacker,28.0,28.0,17.0,4.0,67.0,7.7,1
Fernando Gago,2018,Midfielder,32.0,18.0,1.0,4.0,88.0,7.6,1
Fernando Gago,2019,Midfielder,33.0,10.0,0.0,2.0,87.0,7.4,1
Wilmar Barrios,2018,Midfielder,24.0,32.0,2.0,3.0,84.0,7.5,1
Nahitan Nandez,2018,Midfielder,22.0,35.0,4.0,6.0,79.0,7.8,1
Nahitan Nandez,2019,Midfielder,23.0,30.0,3.0,5.0,78.0,7.6,1
Sebastian Villa,2019,Attacker,23.0,28.0,8.0,7.0,74.0,7.7,1
Sebastian Villa,2020,Attacker,24.0,22.0,7.0,6.0,73.0,7.5,1
Sebastian Villa,2021,Attacker,25.0,30.0,12.0,9.0,75.0,7.9,1
Eduardo Salvio,2020,Attacker,29.0,26.0,9.0,7.0,76.0,7.7,1
Eduardo Salvio,2021,Attacker,30.0,28.0,8.0,8.0,75.0,7.6,1
Marcos Rojo,2021,Defender,31.0,28.0,3.0,1.0,81.0,7.4,1
Marcos Rojo,2022,Defender,32.0,25.0,2.0,1.0,80.0,7.3,1
Luis Vazquez,2022,Attacker,21.0,24.0,10.0,3.0,70.0,7.5,1
Luis Vazquez,2023,Attacker,22.0,28.0,12.0,4.0,71.0,7.6,1
Luca Langoni,2022,Attacker,20.0,20.0,6.0,4.0,72.0,7.3,1
Luca Langoni,2023,Attacker,21.0,25.0,8.0,5.0,73.0,7.5,1
Exequiel Zeballos,2022,Attacker,20.0,22.0,5.0,6.0,74.0,7.4,1
Exequiel Zeballos,2023,Attacker,21.0,26.0,7.0,8.0,75.0,7.6,1
Agustin Rossi,2021,Goalkeeper,25.0,36.0,0.0,0.0,0.0,7.6,1
