nombre,temporada,posicion,edad,partidos,goles,asistencias,pases_precisos,rating,etiqueta
Martín PalermoM. Palermo,2009,Centre-Forward,35,36,16,2,66.2,7.9,1
Juan Román RiquelmeJ. Riquelme,2009,Attacking Midfield,31,24,3,12,88.1,7.7,1
Nico GaitánN. Gaitán,2009,Attacking Midfield,21,33,7,7,88.0,7.5,1
Sebastián BattagliaS. Battaglia,2009,Defensive Midfield,28,10,3,2,88.1,7.4,1
Gary MedelG. Medel,2009,Defensive Midfield,21,29,7,1,82.9,7.2,1
Federico InsúaF. Insúa,2009,Attacking Midfield,29,30,3,5,88.7,7.0,1
Matías GiménezM. Giménez,2009,Left Midfield,24,8,2,0,85.0,6.9,0
Lucas ViatriL. Viatri,2009,Centre-Forward,22,22,4,0,72.5,6.8,0
Fabián MonzónF. Monzón,2009,Left-Back,22,23,2,2,79.4,6.7,0
Pablo MoucheP. Mouche,2009,Left Winger,21,20,2,1,69.9,6.7,0
Guillermo MarinoG. Marino,2009,Central Midfield,28,18,2,0,85.1,6.6,0
Cristian ChávezC. Chávez,2009,Attacking Midfield,23,26,1,2,86.5,6.6,0
Gabriel PalettaG. Paletta,2009,Centre-Back,23,22,1,1,85.0,6.5,0
Ariel RosadaA. Rosada,2009,Defensive Midfield,31,23,0,2,88.0,6.5,0
Claudio Morel RodríguezC. Morel Rodríguez,2009,Left-Back,31,24,0,1,84.2,6.4,0
Juan KrupoviesaJ. Krupoviesa,2009,Left-Back,30,12,1,0,83.2,6.4,0
Cristian ErbesC. Erbes,2009,Defensive Midfield,19,20,1,0,87.0,6.4,0
Roberto AbbondanzieriR. Abbondanzieri,2009,Goalkeeper,36,22,0,0,0.0,6.3,0
Ezequiel MuñozE. Muñoz,2009,Centre-Back,18,15,0,1,79.0,6.3,0
Hugo IbarraH. Ibarra,2009,Right-Back,35,26,0,0,87.9,6.3,0
Javier GarcíaJ. García,2009,Goalkeeper,22,15,0,0,0.0,6.2,0
Gastón SauroG. Sauro,2009,Centre-Back,19,5,0,0,85.4,6.1,0
Julio BarrosoJ. Barroso,2009,Centre-Back,24,7,0,0,85.0,6.1,0
Jesús MéndezJ. Méndez,2009,Central Midfield,24,10,0,0,88.9,6.1,0
Josué AyalaJ. Ayala,2009,Goalkeeper,21,1,0,0,0.0,6.0,0
Adrián GuninoA. Gunino,2009,Right-Back,20,1,0,0,86.8,6.0,0
Bréyner BonillaB. Bonilla,2009,Centre-Back,22,3,0,0,81.6,6.0,0
Sebastián PredigerS. Prediger,2009,Defensive Midfield,22,3,0,0,89.1,6.0,0
Santiago VillafañeS. Villafañe,2009,Defensive Midfield,21,3,0,0,83.4,6.0,0
Martín PalermoM. Palermo,2008,Centre-Forward,34,26,12,6,72.2,8.2,1
Rodrigo PalacioR. Palacio,2008,Centre-Forward,26,27,10,6,77.2,7.9,1
Juan Román RiquelmeJ. Riquelme,2008,Attacking Midfield,30,35,7,9,89.3,7.6,1
Lucas ViatriL. Viatri,2008,Centre-Forward,21,33,9,5,72.4,7.6,1
Luciano FigueroaL. Figueroa,2008,Centre-Forward,27,21,8,1,74.0,7.5,1
Nico GaitánN. Gaitán,2008,Attacking Midfield,20,40,5,4,83.2,7.1,1
Neri CardozoN. Cardozo,2008,Attacking Midfield,21,2,0,1,88.5,7.0,0
Cristian ChávezC. Chávez,2008,Attacking Midfield,22,18,3,2,82.9,7.0,1
Fabián VargasF. Vargas,2008,Central Midfield,28,38,2,7,83.9,7.0,1
Pablo MoucheP. Mouche,2008,Left Winger,20,29,2,3,67.2,6.8,0
Sebastián BattagliaS. Battaglia,2008,Defensive Midfield,27,40,3,0,80.2,6.7,0
Leandro GraciánL. Gracián,2008,Attacking Midfield,25,21,2,1,84.3,6.7,0
Ricardo NoirR. Noir,2008,Attacking Midfield,21,20,3,0,89.6,6.7,0
Facundo RoncagliaF. Roncaglia,2008,Centre-Back,21,30,2,0,83.8,6.6,0
Juan ForlínJ. Forlín,2008,Centre-Back,20,30,2,0,80.8,6.6,0
Julio CáceresJ. Cáceres,2008,Centre-Back,28,37,0,0,82.9,6.5,0
Claudio Morel RodríguezC. Morel Rodríguez,2008,Left-Back,30,31,0,2,80.0,6.5,0
Hugo IbarraH. Ibarra,2008,Right-Back,34,37,0,1,85.2,6.5,0
Roberto AbbondanzieriR. Abbondanzieri,2008,Goalkeeper,35,29,0,0,0.0,6.4,0
Juan KrupoviesaJ. Krupoviesa,2008,Left-Back,29,21,0,1,84.5,6.4,0
Álvaro GonzálezÁ. González,2008,Central Midfield,23,7,0,1,89.7,6.4,0
José CalvoJ. Calvo,2008,Right-Back,26,10,0,1,78.2,6.3,0
Javier GarcíaJ. García,2008,Goalkeeper,21,14,0,0,0.0,6.2,0
Gabriel PalettaG. Paletta,2008,Centre-Back,22,18,0,0,87.4,6.2,0
Mauricio CarantaM. Caranta,2008,Goalkeeper,29,7,0,0,0.0,6.1,0
Gastón SauroG. Sauro,2008,Centre-Back,18,5,0,0,79.8,6.1,0
Julio BarrosoJ. Barroso,2008,Centre-Back,23,4,0,0,87.5,6.1,0
Carlos FondacaroC. Fondacaro,2008,Right-Back,21,5,0,0,87.1,6.1,0
Damián DíazD. Díaz,2008,Attacking Midfield,22,6,0,0,83.7,6.1,0
Exequiel BenavídezE. Benavídez,2008,Defensive Midfield,19,10,0,0,88.5,6.1,0
Josué AyalaJ. Ayala,2008,Goalkeeper,20,1,0,0,0.0,6.0,0
Ezequiel MuñozE. Muñoz,2008,Centre-Back,17,3,0,0,83.0,6.0,0
Martín PalermoM. Palermo,2007,Centre-Forward,33,48,31,9,68.2,8.8,1
Rodrigo PalacioR. Palacio,2007,Centre-Forward,25,47,17,18,77.6,8.4,1
Juan Román RiquelmeJ. Riquelme,2007,Attacking Midfield,29,22,7,8,86.5,8.0,1
Leandro GraciánL. Gracián,2007,Attacking Midfield,24,32,6,6,82.2,7.4,1
Jesús DátoloJ. Dátolo,2007,Left Midfield,23,40,7,7,87.5,7.4,1
Lucas ViatriL. Viatri,2007,Centre-Forward,20,4,1,1,75.3,7.3,0
Mauro BoselliM. Boselli,2007,Centre-Forward,22,25,4,5,70.1,7.2,1
Neri CardozoN. Cardozo,2007,Attacking Midfield,20,36,3,6,82.4,7.1,1
Pablo LedesmaP. Ledesma,2007,Central Midfield,23,38,6,1,86.9,7.0,1
Hugo IbarraH. Ibarra,2007,Right-Back,33,29,0,7,85.8,6.9,0
Ricardo NoirR. Noir,2007,Attacking Midfield,20,9,1,2,86.6,6.9,0
Gabriel PalettaG. Paletta,2007,Centre-Back,21,32,4,0,84.6,6.8,0
Sebastián BattagliaS. Battaglia,2007,Defensive Midfield,26,46,4,0,85.5,6.8,0
Álvaro GonzálezÁ. González,2007,Central Midfield,22,40,1,4,87.1,6.8,0
Claudio Morel RodríguezC. Morel Rodríguez,2007,Left-Back,29,42,0,4,86.9,6.7,0
Cristian ChávezC. Chávez,2007,Attacking Midfield,21,21,1,3,88.5,6.7,0
Nico GaitánN. Gaitán,2007,Attacking Midfield,19,5,1,0,83.7,6.7,0
Carlos BuenoC. Bueno,2007,Centre-Forward,27,9,1,1,76.6,6.7,0
Ezequiel MuñozE. Muñoz,2007,Centre-Back,16,4,0,1,81.4,6.6,0
Fabián VargasF. Vargas,2007,Central Midfield,27,31,0,3,83.3,6.6,0
Pablo MoucheP. Mouche,2007,Left Winger,19,6,1,0,68.4,6.6,0
Nicolás BertoloN. Bertolo,2007,Left Winger,21,4,0,1,73.2,6.6,0
Mauricio CarantaM. Caranta,2007,Goalkeeper,28,45,0,0,0.0,6.5,0
Juan ForlínJ. Forlín,2007,Centre-Back,19,7,1,0,87.0,6.5,0
Julio CáceresJ. Cáceres,2007,Centre-Back,27,27,1,0,84.4,6.5,0
Jonatan MaidanaJ. Maidana,2007,Centre-Back,21,41,0,0,84.1,6.5,0
Éver BanegaÉ. Banega,2007,Central Midfield,19,16,0,2,81.6,6.5,0
Facundo RoncagliaF. Roncaglia,2007,Centre-Back,20,12,0,0,81.5,6.2,0
Fabián MonzónF. Monzón,2007,Left-Back,20,19,0,0,87.0,6.2,0
Javier GarcíaJ. García,2007,Goalkeeper,20,4,0,0,0.0,6.1,0
Pablo MiglioreP. Migliore,2007,Goalkeeper,25,11,0,0,0.0,6.1,0
Matías CahaisM. Cahais,2007,Centre-Back,19,5,0,0,78.8,6.1,0
Juan KrupoviesaJ. Krupoviesa,2007,Left-Back,28,5,0,0,79.6,6.1,0
Bruno UrribarriB. Urribarri,2007,Left-Back,20,6,0,0,78.1,6.1,0
Lucas CastrománL. Castromán,2007,Right Midfield,26,5,0,0,86.5,6.1,0
Matías SilvestreM. Silvestre,2007,Centre-Back,22,2,0,0,85.3,6.0,0
Luis IbáñezL. Ibáñez,2007,Left-Back,18,2,0,0,79.0,6.0,0
Carlos FondacaroC. Fondacaro,2007,Right-Back,20,3,0,0,78.1,6.0,0
Exequiel BenavídezE. Benavídez,2007,Defensive Midfield,18,1,0,0,85.7,6.0,0
Sebastián NayarS. Nayar,2007,Central Midfield,19,1,0,0,80.9,6.0,0
Martín PalermoM. Palermo,2006,Centre-Forward,32,46,28,8,75.6,8.7,1
Rodrigo PalacioR. Palacio,2006,Centre-Forward,24,44,23,9,71.9,8.5,1
Juan Román RiquelmeJ. Riquelme,2006,Attacking Midfield,28,26,10,11,83.9,8.3,1
Neri CardozoN. Cardozo,2006,Attacking Midfield,19,50,10,6,81.1,7.3,1
Mauro BoselliM. Boselli,2006,Centre-Forward,21,21,5,1,66.2,7.1,1
Pablo LedesmaP. Ledesma,2006,Central Midfield,22,48,2,9,86.9,7.0,1
Bruno MarioniB. Marioni,2006,Left Winger,31,18,3,2,72.2,7.0,1
Claudio Morel RodríguezC. Morel Rodríguez,2006,Left-Back,28,45,1,6,78.9,6.8,0
Hugo IbarraH. Ibarra,2006,Right-Back,32,41,3,1,86.4,6.8,0
Cata DíazCata Díaz,2006,Centre-Back,26,41,3,2,81.2,6.8,0
Clemente RodríguezC. Rodríguez,2006,Left-Back,24,27,3,2,84.8,6.8,0
Juan KrupoviesaJ. Krupoviesa,2006,Left-Back,27,12,2,1,83.1,6.8,0
Sebastián BattagliaS. Battaglia,2006,Defensive Midfield,25,23,3,0,86.5,6.7,0
Guillermo MarinoG. Marino,2006,Central Midfield,25,21,2,1,81.4,6.7,0
Jesús DátoloJ. Dátolo,2006,Left Midfield,22,34,2,2,89.2,6.7,0
Matías SilvestreM. Silvestre,2006,Centre-Back,21,29,1,1,83.4,6.6,0
Fernando GagoF. Gago,2006,Defensive Midfield,20,20,1,2,81.7,6.6,0
Guillermo Barros SchelottoG. Barros Schelotto,2006,Centre-Forward,33,16,1,2,73.6,6.6,0
Andrés FranzoiaA. Franzoia,2006,Centre-Forward,20,11,1,1,73.2,6.6,0
Nicolás BertoloN. Bertolo,2006,Left Winger,20,9,1,0,76.7,6.5,0
Mauricio CarantaM. Caranta,2006,Goalkeeper,27,31,0,0,0.0,6.4,0
Jonatan MaidanaJ. Maidana,2006,Centre-Back,20,23,1,0,83.9,6.4,0
Éver BanegaÉ. Banega,2006,Central Midfield,18,28,0,1,82.3,6.4,0
Sergio OrtemanS. Orteman,2006,Defensive Midfield,27,20,1,0,83.4,6.4,0
Aldo BobadillaA. Bobadilla,2006,Goalkeeper,30,22,0,0,0.0,6.3,0
José CalvoJ. Calvo,2006,Right-Back,24,10,0,0,79.9,6.1,0
Bruno UrribarriB. Urribarri,2006,Left-Back,19,4,0,0,78.4,6.1,0
Matías CahaisM. Cahais,2006,Centre-Back,18,7,0,0,78.2,6.1,0
Santiago VillafañeS. Villafañe,2006,Defensive Midfield,18,4,0,0,88.8,6.1,0
Marcelo DelgadoM. Delgado,2006,Centre-Forward,33,6,0,0,68.1,6.1,0
Marcos MondainiM. Mondaini,2006,Centre-Forward,21,4,0,0,76.7,6.1,0
Pablo MiglioreP. Migliore,2006,Goalkeeper,24,3,0,0,0.0,6.0,0
Fabián VargasF. Vargas,2006,Central Midfield,26,2,0,0,89.4,6.0,0
Cristian ChávezC. Chávez,2006,Attacking Midfield,20,2,0,0,82.6,6.0,0
Rodrigo PalacioR. Palacio,2005,Centre-Forward,23,36,22,0,69.8,8.3,1
Martín PalermoM. Palermo,2005,Centre-Forward,31,38,19,3,74.5,8.2,1
Federico InsúaF. Insúa,2005,Attacking Midfield,25,37,11,0,89.1,7.4,1
Daniel BilosD. Bilos,2005,Left Midfield,24,33,4,1,86.7,6.9,0
Marcelo DelgadoM. Delgado,2005,Centre-Forward,32,17,4,0,73.2,6.9,0
Cata DíazCata Díaz,2005,Centre-Back,25,40,4,0,83.0,6.8,0
Matías SilvestreM. Silvestre,2005,Centre-Back,20,23,4,0,78.4,6.8,0
Guillermo Barros SchelottoG. Barros Schelotto,2005,Centre-Forward,32,24,3,1,68.1,6.8,0
Neri CardozoN. Cardozo,2005,Attacking Midfield,18,33,1,2,84.9,6.6,0
Hugo IbarraH. Ibarra,2005,Right-Back,31,26,1,0,80.5,6.5,0
Juan KrupoviesaJ. Krupoviesa,2005,Left-Back,26,33,1,0,84.1,6.5,0
Fernando GagoF. Gago,2005,Defensive Midfield,19,37,0,1,80.5,6.5,0
Roberto AbbondanzieriR. Abbondanzieri,2005,Goalkeeper,32,33,0,0,0.0,6.4,0
Pablo LedesmaP. Ledesma,2005,Central Midfield,21,25,1,0,87.6,6.4,0
Claudio Morel RodríguezC. Morel Rodríguez,2005,Left-Back,27,23,0,0,87.6,6.3,0
Rolando SchiaviR. Schiavi,2005,Centre-Back,32,19,0,0,87.7,6.2,0
José CalvoJ. Calvo,2005,Right-Back,23,17,0,0,81.0,6.2,0
Fabián VargasF. Vargas,2005,Central Midfield,25,13,0,0,82.4,6.2,0
Guillermo MarinoG. Marino,2005,Central Midfield,24,16,0,0,81.4,6.2,0
Sebastián BattagliaS. Battaglia,2005,Defensive Midfield,24,19,0,0,82.4,6.2,0
Ezequiel MedránE. Medrán,2005,Goalkeeper,24,4,0,0,0.0,6.1,0
Diego CagnaD. Cagna,2005,Right Midfield,35,9,0,0,82.8,6.1,0
Pablo MiglioreP. Migliore,2005,Goalkeeper,23,2,0,0,0.0,6.0,0
Julio BarrosoJ. Barroso,2005,Centre-Back,20,1,0,0,80.8,6.0,0
Jonatan MaidanaJ. Maidana,2005,Centre-Back,19,2,0,0,83.0,6.0,0
Fredy GuarínF. Guarín,2005,Central Midfield,19,2,0,0,89.9,6.0,0
Andrés FranzoiaA. Franzoia,2005,Centre-Forward,19,3,0,0,73.2,6.0,0
Martín PalermoM. Palermo,2004,Centre-Forward,30,41,22,6,77.3,8.4,1
Rodrigo PalacioR. Palacio,2004,Centre-Forward,22,31,10,6,74.1,7.8,1
Andrés GuglielminpietroA. Guglielminpietro,2004,Left Midfield,30,33,11,5,82.2,7.7,1
Neri CardozoN. Cardozo,2004,Attacking Midfield,17,42,7,8,84.2,7.4,1
Guillermo Barros SchelottoG. Barros Schelotto,2004,Centre-Forward,31,27,4,6,69.4,7.2,1
Diego CagnaD. Cagna,2004,Right Midfield,34,40,7,1,88.2,7.1,1
Rolando SchiaviR. Schiavi,2004,Centre-Back,31,42,6,2,86.0,7.0,1
BaianoBaiano,2004,Right-Back,26,15,2,3,83.4,7.0,1
Marcelo DelgadoM. Delgado,2004,Centre-Forward,31,28,3,3,71.7,6.9,0
Mauro BoselliM. Boselli,2004,Centre-Forward,19,10,2,1,69.7,6.9,0
Fernando GagoF. Gago,2004,Defensive Midfield,18,24,0,4,80.1,6.6,0
Roberto AbbondanzieriR. Abbondanzieri,2004,Goalkeeper,31,50,0,0,0.0,6.5,0
Claudio Morel RodríguezC. Morel Rodríguez,2004,Left-Back,26,33,0,1,79.9,6.5,0
José CalvoJ. Calvo,2004,Right-Back,22,33,0,1,87.0,6.5,0
Raúl CasciniR. Cascini,2004,Defensive Midfield,33,26,0,2,84.3,6.5,0
Pablo LedesmaP. Ledesma,2004,Central Midfield,20,34,1,0,81.2,6.5,0
Cristian TraversoC. Traverso,2004,Centre-Back,32,23,0,1,80.3,6.4,0
Matías DonnetM. Donnet,2004,Attacking Midfield,24,21,0,1,85.1,6.4,0
Pablo JerezP. Jerez,2004,Right-Back,20,9,0,1,86.9,6.3,0
Fabián VargasF. Vargas,2004,Central Midfield,24,25,0,0,88.6,6.3,0
Aníbal MatellánA. Matellán,2004,Centre-Back,27,19,0,0,86.1,6.2,0
Matías SilvestreM. Silvestre,2004,Centre-Back,19,15,0,0,81.2,6.2,0
Pablo ÁlvarezP. Álvarez,2004,Right-Back,20,16,0,0,79.1,6.2,0
Ezequiel MedránE. Medrán,2004,Goalkeeper,23,7,0,0,0.0,6.1,0
Luis Miguel EscaladaL. Escalada,2004,Centre-Forward,18,8,0,0,69.2,6.1,0
Carlos TévezC. Tévez,2003,Centre-Forward,19,43,18,10,66.0,8.2,1
Guillermo Barros SchelottoG. Barros Schelotto,2003,Centre-Forward,30,33,10,9,68.0,7.9,1
Antonio BarijhoA. Barijho,2003,Centre-Forward,26,19,8,1,73.2,7.6,1
Matías DonnetM. Donnet,2003,Attacking Midfield,23,34,7,5,80.3,7.4,1
Neri CardozoN. Cardozo,2003,Attacking Midfield,16,24,5,5,89.1,7.4,1
Javier VillarrealJ. Villarreal,2003,Right Midfield,24,29,6,4,83.1,7.3,1
Franco CángeleF. Cángele,2003,Second Striker,18,31,6,4,75.5,7.2,1
IarleyIarley,2003,Centre-Forward,29,34,5,2,68.8,7.0,1
Rolando SchiaviR. Schiavi,2003,Centre-Back,30,52,5,0,81.1,6.8,0
Clemente RodríguezC. Rodríguez,2003,Left-Back,21,37,3,2,81.3,6.8,0
Sebastián BattagliaS. Battaglia,2003,Defensive Midfield,22,18,3,1,85.2,6.8,0
Nicolás BurdissoN. Burdisso,2003,Centre-Back,22,39,2,0,84.4,6.7,0
Diego CagnaD. Cagna,2003,Right Midfield,33,46,2,2,84.3,6.7,0
Fabián VargasF. Vargas,2003,Central Midfield,23,33,2,2,81.1,6.7,0
José CalvoJ. Calvo,2003,Right-Back,21,29,1,2,82.7,6.6,0
Raúl CasciniR. Cascini,2003,Defensive Midfield,32,47,1,1,85.1,6.6,0
Roberto ColauttiR. Colautti,2003,Centre-Forward,21,11,1,1,67.1,6.6,0
Roberto AbbondanzieriR. Abbondanzieri,2003,Goalkeeper,30,54,0,1,0.0,6.5,0
Pablo JerezP. Jerez,2003,Right-Back,19,29,0,2,85.3,6.5,0
Raúl EstévezR. Estévez,2003,Right Winger,25,10,0,2,77.1,6.5,0
Miguel CaneoM. Caneo,2003,Attacking Midfield,20,19,1,0,82.5,6.4,0
Diego CrosaD. Crosa,2003,Centre-Back,27,13,0,0,86.9,6.2,0
Willy CaballeroWilly Caballero,2003,Goalkeeper,21,8,0,0,0.0,6.1,0
Matías SilvestreM. Silvestre,2003,Centre-Back,18,6,0,0,79.2,6.1,0
Joel BarbosaJ. Barbosa,2003,Right-Back,20,7,0,0,85.1,6.1,0
Pablo ÁlvarezP. Álvarez,2003,Right-Back,19,10,0,0,85.6,6.1,0
Pablo LedesmaP. Ledesma,2003,Central Midfield,19,10,0,0,80.3,6.1,0
Víctor OrmazabalV. Ormazabal,2003,Central Midfield,18,7,0,0,87.6,6.1,0
Facundo ImbodenF. Imboden,2003,Centre-Back,23,1,0,0,83.6,6.0,0
Federico LeónF. León,2003,Centre-Back,18,1,0,0,85.7,6.0,0
