nombre,temporada,posicion,edad,partidos,goles,asistencias,pases_precisos,rating,etiqueta
Miguel Merentiel,2024,Centre-Forward,28,44,15,4,75.7,7.7,1
Milton Giménez,2024,Centre-Forward,27,34,10,4,77.8,7.6,1
Exequiel Zeballos,2024,Right Winger,22,35,6,4,65.9,7.2,1
Frank Fabra,2024,Left-Back,33,4,0,2,83.5,7.1,0
Edinson Cavani,2024,Centre-Forward,37,24,5,2,69.9,7.1,1
Carlos Palacios,2024,Attacking Midfield,23,36,3,4,83.5,6.9,0
Rodrigo Battaglia,2024,Defensive Midfield,32,35,5,0,86.2,6.9,0
Ayrton Costa,2024,Centre-Back,24,26,3,1,84.3,6.8,0
Leandro Paredes,2024,Defensive Midfield,30,18,1,4,88.9,6.8,0
Kevin Zenón,2024,Left Winger,22,33,4,0,74.2,6.8,0
Lautaro Di Lollo,2024,Centre-Back,20,31,3,0,83.7,6.7,0
Lautaro Blanco,2024,Left-Back,25,37,1,3,82.5,6.7,0
Brian Aguirre,2024,Left Winger,21,19,1,3,66.1,6.7,0
Alan Velasco,2024,Left Winger,21,31,1,2,66.1,6.6,0
Lucas Janson,2024,Left Winger,29,6,1,0,69.8,6.6,0
Agustín Marchesín,2024,Goalkeeper,36,40,0,0,0.0,6.5,0
Juan Barinaga,2024,Right-Back,23,22,0,2,81.3,6.5,0
Luis Advíncula,2024,Right-Back,34,24,1,1,82.9,6.5,0
Marcelo Saracchi,2024,Left-Back,26,11,1,0,85.5,6.4,0
Marcos Rojo,2024,Centre-Back,34,13,1,0,78.6,6.4,0
Milton Delgado,2024,Defensive Midfield,19,24,0,1,84.4,6.4,0
Williams Alarcón,2024,Central Midfield,23,26,0,1,81.2,6.4,0
Lucas Blondel,2024,Right-Back,27,12,0,1,85.9,6.3,0
Tomás Belmonte,2024,Defensive Midfield,26,23,0,0,81.4,6.3,0
Ander Herrera,2024,Central Midfield,34,17,0,0,81.0,6.2,0
Leandro Brey,2024,Goalkeeper,21,6,0,0,0.0,6.1,0
Marco Pellegrino,2024,Centre-Back,21,8,0,0,80.9,6.1,0
Malcom Braida,2024,Left-Back,27,8,0,0,84.7,6.1,0
Camilo Rey Domenech,2024,Defensive Midfield,18,7,0,0,80.8,6.1,0
Mateo Mendía,2024,Centre-Back,20,3,0,0,85.9,6.0,0
Nicolás Figal,2024,Centre-Back,30,3,0,0,78.9,6.0,0
