nombre,temporada,posicion,edad,partidos,goles,asistencias,pases_precisos,etiqueta,goles_por_partido,asist_por_partido,contribucion_gol,experiencia,edad_estimada_debut,temporadas_en_dataset,promedio_goles_por_temporada,promedio_asistencias_por_temporada,proporcion_goles,pases_norm,perfil_ofensivo,partidos_por_temporada
Miguel Merentiel,2024,Centre-Forward,28,44,15,4,75.7,1,0.3409090909090909,0.09090909090909091,0.4318181818181818,3,28,3,5.0,1.3333333333333333,0.7894736842105263,0.8411111111111111,1,14.666666666666666
Milton Giménez,2024,Centre-Forward,27,34,10,4,77.8,1,0.29411764705882354,0.11764705882352941,0.4117647058823529,2,27,2,5.0,2.0,0.7142857142857143,0.8644444444444445,1,17.0
Exequiel Zeballos,2024,Right Winger,22,35,6,4,65.9,1,0.17142857142857143,0.11428571428571428,0.2857142857142857,6,22,6,1.0,0.6666666666666666,0.6,0.7322222222222223,1,5.833333333333333
Frank Fabra,2024,Left-Back,33,4,0,2,83.5,0,0.0,0.5,0.5,10,33,10,0.0,0.2,0.0,0.9277777777777778,0,0.4
Edinson Cavani,2024,Centre-Forward,37,24,5,2,69.9,1,0.20833333333333334,0.08333333333333333,0.2916666666666667,2,37,2,2.5,1.0,0.7142857142857143,0.7766666666666667,1,12.0
Carlos Palacios,2024,Attacking Midfield,23,36,3,4,83.5,0,0.08333333333333333,0.1111111111111111,0.19444444444444445,1,23,1,3.0,4.0,0.42857142857142855,0.9277777777777778,1,36.0
Rodrigo Battaglia,2024,Defensive Midfield,32,35,5,0,86.2,0,0.14285714285714285,0.0,0.14285714285714285,1,32,1,5.0,0.0,1.0,0.9577777777777778,0,35.0
Ayrton Costa,2024,Centre-Back,24,26,3,1,84.3,0,0.11538461538461539,0.038461538461538464,0.15384615384615385,1,24,1,3.0,1.0,0.75,0.9366666666666666,0,26.0
Leandro Paredes,2024,Defensive Midfield,30,18,1,4,88.9,0,0.05555555555555555,0.2222222222222222,0.2777777777777778,4,30,4,0.25,1.0,0.2,0.9877777777777779,0,4.5
Kevin Zenón,2024,Left Winger,22,33,4,0,74.2,0,0.12121212121212122,0.0,0.12121212121212122,2,22,2,2.0,0.0,1.0,0.8244444444444444,1,16.5
Lautaro Di Lollo,2024,Centre-Back,20,31,3,0,83.7,0,0.0967741935483871,0.0,0.0967741935483871,2,20,2,1.5,0.0,1.0,0.93,0,15.5
Lautaro Blanco,2024,Left-Back,25,37,1,3,82.5,0,0.02702702702702703,0.08108108108108109,0.10810810810810811,2,25,2,0.5,1.5,0.25,0.9166666666666666,0,18.5
Brian Aguirre,2024,Left Winger,21,19,1,3,66.1,0,0.05263157894736842,0.15789473684210525,0.21052631578947367,2,21,2,0.5,1.5,0.25,0.7344444444444443,1,9.5
Alan Velasco,2024,Left Winger,21,31,1,2,66.1,0,0.03225806451612903,0.06451612903225806,0.0967741935483871,1,21,1,1.0,2.0,0.3333333333333333,0.7344444444444443,1,31.0
Lucas Janson,2024,Left Winger,29,6,1,0,69.8,0,0.16666666666666666,0.0,0.16666666666666666,2,29,2,0.5,0.0,1.0,0.7755555555555556,1,3.0
Agustín Marchesín,2024,Goalkeeper,36,40,0,0,0.0,0,0.0,0.0,0.0,1,36,1,0.0,0.0,0.0,0.0,0,40.0
Juan Barinaga,2024,Right-Back,23,22,0,2,81.3,0,0.0,0.09090909090909091,0.09090909090909091,2,23,2,0.0,1.0,0.0,0.9033333333333333,0,11.0
Luis Advíncula,2024,Right-Back,34,24,1,1,82.9,0,0.041666666666666664,0.041666666666666664,0.08333333333333333,4,34,4,0.25,0.25,0.5,0.9211111111111112,0,6.0
Marcelo Saracchi,2024,Left-Back,26,11,1,0,85.5,0,0.09090909090909091,0.0,0.09090909090909091,2,26,2,0.5,0.0,1.0,0.95,0,5.5
Marcos Rojo,2024,Centre-Back,34,13,1,0,78.6,0,0.07692307692307693,0.0,0.07692307692307693,5,34,5,0.2,0.0,1.0,0.8733333333333333,0,2.6
Milton Delgado,2024,Defensive Midfield,19,24,0,1,84.4,0,0.0,0.041666666666666664,0.041666666666666664,1,19,1,0.0,1.0,0.0,0.9377777777777778,0,24.0
Williams Alarcón,2024,Central Midfield,23,26,0,1,81.2,0,0.0,0.038461538461538464,0.038461538461538464,1,23,1,0.0,1.0,0.0,0.9022222222222223,0,26.0
Lucas Blondel,2024,Right-Back,27,12,0,1,85.9,0,0.0,0.08333333333333333,0.08333333333333333,3,27,3,0.0,0.3333333333333333,0.0,0.9544444444444445,0,4.0
Tomás Belmonte,2024,Defensive Midfield,26,23,0,0,81.4,0,0.0,0.0,0.0,2,26,2,0.0,0.0,0.0,0.9044444444444445,0,11.5
Ander Herrera,2024,Central Midfield,34,17,0,0,81.0,0,0.0,0.0,0.0,1,34,1,0.0,0.0,0.0,0.9,0,17.0
Leandro Brey,2024,Goalkeeper,21,6,0,0,0.0,0,0.0,0.0,0.0,3,21,3,0.0,0.0,0.0,0.0,0,2.0
Marco Pellegrino,2024,Centre-Back,21,8,0,0,80.9,0,0.0,0.0,0.0,1,21,1,0.0,0.0,0.0,0.898888888888889,0,8.0
Malcom Braida,2024,Left-Back,27,8,0,0,84.7,0,0.0,0.0,0.0,1,27,1,0.0,0.0,0.0,0.9411111111111111,0,8.0
Camilo Rey Domenech,2024,Defensive Midfield,18,7,0,0,80.8,0,0.0,0.0,0.0,1,18,1,0.0,0.0,0.0,0.8977777777777778,0,7.0
Mateo Mendía,2024,Centre-Back,20,3,0,0,85.9,0,0.0,0.0,0.0,2,20,2,0.0,0.0,0.0,0.9544444444444445,0,1.5
Nicolás Figal,2024,Centre-Back,30,3,0,0,78.9,0,0.0,0.0,0.0,4,30,4,0.0,0.0,0.0,0.8766666666666667,0,0.75
Ignacio Miramón,2024,Defensive Midfield,21,3,0,0,87.6,0,0.0,0.0,0.0,2,21,2,0.0,0.0,0.0,0.9733333333333333,0,1.5
Agustín Martegani,2024,Attacking Midfield,24,2,0,0,87.0,0,0.0,0.0,0.0,2,24,2,0.0,0.0,0.0,0.9666666666666667,1,1.0
Edinson Cavani,2023,Centre-Forward,36,39,20,1,66.2,1,0.5128205128205128,0.02564102564102564,0.5384615384615384,2,35,2,10.0,0.5,0.9523809523809523,0.7355555555555556,1,19.5
Miguel Merentiel,2023,Centre-Forward,27,49,17,7,76.6,1,0.3469387755102041,0.14285714285714285,0.4897959183673469,3,26,3,5.666666666666667,2.3333333333333335,0.7083333333333334,0.851111111111111,1,16.333333333333332
Kevin Zenón,2023,Left Winger,21,46,6,7,70.1,1,0.13043478260869565,0.15217391304347827,0.2826086956521739,2,20,2,3.0,3.5,0.46153846153846156,0.7788888888888889,1,23.0
Milton Giménez,2023,Centre-Forward,26,25,7,1,76.8,1,0.28,0.04,0.32,2,25,2,3.5,0.5,0.875,0.8533333333333333,1,12.5
Aarón Anselmino,2023,Centre-Back,18,18,2,3,78.7,0,0.1111111111111111,0.16666666666666666,0.2777777777777778,2,17,2,1.0,1.5,0.4,0.8744444444444445,0,9.0
Lautaro Blanco,2023,Left-Back,24,46,0,9,86.4,0,0.0,0.1956521739130435,0.1956521739130435,2,23,2,0.0,4.5,0.0,0.9600000000000001,0,23.0
Marcelo Saracchi,2023,Left-Back,25,25,3,3,80.8,0,0.12,0.12,0.24,2,24,2,1.5,1.5,0.5,0.8977777777777778,0,12.5
Cristian Medina,2023,Central Midfield,21,30,3,3,89.9,0,0.1,0.1,0.2,5,20,5,0.6,0.6,0.5,0.9988888888888889,0,6.0
Luis Advíncula,2023,Right-Back,33,44,0,7,85.4,0,0.0,0.1590909090909091,0.1590909090909091,4,32,4,0.0,1.75,0.0,0.948888888888889,0,11.0
Brian Aguirre,2023,Left Winger,20,18,3,1,65.1,0,0.16666666666666666,0.05555555555555555,0.2222222222222222,2,19,2,1.5,0.5,0.75,0.7233333333333333,1,9.0
Lucas Blondel,2023,Right-Back,26,10,2,0,79.2,0,0.2,0.0,0.2,3,25,3,0.6666666666666666,0.0,1.0,0.88,0,3.3333333333333335
Cristian Lema,2023,Centre-Back,33,34,1,2,79.8,0,0.029411764705882353,0.058823529411764705,0.08823529411764706,1,32,1,1.0,2.0,0.3333333333333333,0.8866666666666666,0,34.0
Equi Fernández,2023,Defensive Midfield,20,20,2,1,88.1,0,0.1,0.05,0.15,4,19,4,0.5,0.25,0.6666666666666666,0.9788888888888888,0,5.0
Exequiel Zeballos,2023,Right Winger,21,25,2,2,75.7,0,0.08,0.08,0.16,6,20,6,0.3333333333333333,0.3333333333333333,0.5,0.8411111111111111,1,4.166666666666667
Jabes Saralegui,2023,Central Midfield,20,38,1,1,83.4,0,0.02631578947368421,0.02631578947368421,0.05263157894736842,2,19,2,0.5,0.5,0.5,0.9266666666666667,0,19.0
Luca Langoni,2023,Right Winger,21,25,1,2,69.2,0,0.04,0.08,0.12,3,20,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.768888888888889,1,8.333333333333334
Sergio Romero,2023,Goalkeeper,36,39,0,0,0.0,0,0.0,0.0,0.0,2,35,2,0.0,0.0,0.0,0.0,0,19.5
Nicolás Valentini,2023,Centre-Back,22,9,1,0,78.2,0,0.1111111111111111,0.0,0.1111111111111111,3,21,3,0.3333333333333333,0.0,1.0,0.8688888888888889,0,3.0
Nicolás Figal,2023,Centre-Back,29,33,1,0,84.3,0,0.030303030303030304,0.0,0.030303030303030304,4,28,4,0.25,0.0,1.0,0.9366666666666666,0,8.25
Marcos Rojo,2023,Centre-Back,33,30,1,0,86.0,0,0.03333333333333333,0.0,0.03333333333333333,5,32,5,0.2,0.0,1.0,0.9555555555555556,0,6.0
Pol FernándezPol Fernández,2023,Central Midfield,31,45,0,1,87.5,0,0.0,0.022222222222222223,0.022222222222222223,6,30,6,0.0,0.16666666666666666,0.0,0.9722222222222222,0,7.5
Tomás Belmonte,2023,Defensive Midfield,25,20,1,0,87.8,0,0.05,0.0,0.05,2,24,2,0.5,0.0,1.0,0.9755555555555555,0,10.0
Norberto Briasco,2023,Right Winger,27,6,0,1,77.4,0,0.0,0.16666666666666666,0.16666666666666666,3,26,3,0.0,0.3333333333333333,0.0,0.8600000000000001,1,2.0
Darío Benedetto,2023,Centre-Forward,33,13,1,0,77.4,0,0.07692307692307693,0.0,0.07692307692307693,7,32,7,0.14285714285714285,0.0,1.0,0.8600000000000001,1,1.8571428571428572
Leandro Brey,2023,Goalkeeper,20,21,0,0,0.0,0,0.0,0.0,0.0,3,19,3,0.0,0.0,0.0,0.0,0,7.0
Lautaro Di Lollo,2023,Centre-Back,19,20,0,0,81.2,0,0.0,0.0,0.0,2,18,2,0.0,0.0,0.0,0.9022222222222223,0,10.0
Juan Barinaga,2023,Right-Back,22,10,0,1,86.1,0,0.0,0.1,0.1,2,21,2,0.0,0.5,0.0,0.9566666666666666,0,5.0
Frank Fabra,2023,Left-Back,32,16,0,1,80.8,0,0.0,0.0625,0.0625,10,31,10,0.0,0.1,0.0,0.8977777777777778,0,1.6
Lucas Janson,2023,Left Winger,28,22,0,0,69.2,0,0.0,0.0,0.0,2,27,2,0.0,0.0,0.0,0.768888888888889,1,11.0
Jorman Campuzano,2023,Defensive Midfield,27,12,0,0,88.6,0,0.0,0.0,0.0,6,26,6,0.0,0.0,0.0,0.9844444444444443,0,2.0
Ignacio Miramón,2023,Defensive Midfield,20,17,0,0,84.3,0,0.0,0.0,0.0,2,19,2,0.0,0.0,0.0,0.9366666666666666,0,8.5
Mateo Mendía,2023,Centre-Back,19,4,0,0,85.0,0,0.0,0.0,0.0,2,18,2,0.0,0.0,0.0,0.9444444444444444,0,2.0
Ezequiel Bullaude,2023,Attacking Midfield,22,6,0,0,84.1,0,0.0,0.0,0.0,1,21,1,0.0,0.0,0.0,0.9344444444444444,1,6.0
Vicente Taborda,2023,Attacking Midfield,22,6,0,0,83.7,0,0.0,0.0,0.0,1,21,1,0.0,0.0,0.0,0.93,1,6.0
Mauricio Benítez,2023,Defensive Midfield,19,11,0,0,89.3,0,0.0,0.0,0.0,1,18,1,0.0,0.0,0.0,0.9922222222222222,0,11.0
Julián Ceballos,2023,Central Midfield,18,5,0,0,87.5,0,0.0,0.0,0.0,1,17,1,0.0,0.0,0.0,0.9722222222222222,0,5.0
Agustín Martegani,2023,Attacking Midfield,23,11,0,0,81.0,0,0.0,0.0,0.0,2,22,2,0.0,0.0,0.0,0.9,1,5.5
Juan Ramírez,2023,Central Midfield,30,4,0,0,89.0,0,0.0,0.0,0.0,3,29,3,0.0,0.0,0.0,0.9888888888888889,0,1.3333333333333333
Gary Medel,2023,Defensive Midfield,35,11,0,0,85.1,0,0.0,0.0,0.0,3,34,3,0.0,0.0,0.0,0.9455555555555555,0,3.6666666666666665
Javier García,2023,Goalkeeper,36,1,0,0,0.0,0,0.0,0.0,0.0,9,35,9,0.0,0.0,0.0,0.0,0,0.1111111111111111
Dylan Gorosito,2023,Right-Back,17,1,0,0,86.8,0,0.0,0.0,0.0,1,16,1,0.0,0.0,0.0,0.9644444444444444,0,1.0
Walter Molas,2023,Centre-Back,19,2,0,0,85.5,0,0.0,0.0,0.0,1,18,1,0.0,0.0,0.0,0.95,0,2.0
Miguel Merentiel,2022,Centre-Forward,26,49,18,5,67.5,1,0.3673469387755102,0.10204081632653061,0.46938775510204084,3,24,3,6.0,1.6666666666666667,0.782608695652174,0.75,1,16.333333333333332
Martín Payero,2022,Central Midfield,23,15,4,1,80.3,1,0.26666666666666666,0.06666666666666667,0.3333333333333333,1,21,1,4.0,1.0,0.8,0.8922222222222221,0,15.0
Darío Benedetto,2022,Centre-Forward,32,41,6,4,73.9,1,0.14634146341463414,0.0975609756097561,0.24390243902439024,7,30,7,0.8571428571428571,0.5714285714285714,0.6,0.8211111111111111,1,5.857142857142857
Luis Advíncula,2022,Right-Back,32,40,4,4,84.4,1,0.1,0.1,0.2,4,30,4,1.0,1.0,0.5,0.9377777777777778,0,10.0
Cristian Medina,2022,Central Midfield,20,49,5,4,86.4,1,0.10204081632653061,0.08163265306122448,0.1836734693877551,5,18,5,1.0,0.8,0.5555555555555556,0.9600000000000001,0,9.8
Óscar RomeroÓ. Romero,2022,Attacking Midfield,29,19,2,4,85.8,1,0.10526315789473684,0.21052631578947367,0.3157894736842105,2,27,2,1.0,2.0,0.3333333333333333,0.9533333333333333,1,9.5
Luis Vázquez,2022,Centre-Forward,21,20,3,3,65.9,1,0.15,0.15,0.3,4,19,4,0.75,0.75,0.5,0.7322222222222223,1,5.0
Marcelo Weigandt,2022,Right-Back,22,32,2,5,82.3,0,0.0625,0.15625,0.21875,4,20,4,0.5,1.25,0.2857142857142857,0.9144444444444444,0,8.0
Exequiel Zeballos,2022,Right Winger,20,21,2,4,70.0,0,0.09523809523809523,0.19047619047619047,0.2857142857142857,6,18,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7777777777777778,1,3.5
Nicolás Figal,2022,Centre-Back,28,46,4,0,84.2,0,0.08695652173913043,0.0,0.08695652173913043,4,26,4,1.0,0.0,1.0,0.9355555555555556,0,11.5
Valentín Barco,2022,Central Midfield,17,32,1,4,86.6,0,0.03125,0.125,0.15625,1,15,1,1.0,4.0,0.2,0.9622222222222222,0,32.0
Luca Langoni,2022,Right Winger,20,23,3,1,76.8,0,0.13043478260869565,0.043478260869565216,0.17391304347826086,3,18,3,1.0,0.3333333333333333,0.75,0.8533333333333333,1,7.666666666666667
Lucas Blondel,2022,Right-Back,25,10,2,0,82.0,0,0.2,0.0,0.2,3,23,3,0.6666666666666666,0.0,1.0,0.9111111111111111,0,3.3333333333333335
Pol FernándezPol Fernández,2022,Central Midfield,30,47,2,2,83.9,0,0.0425531914893617,0.0425531914893617,0.0851063829787234,6,28,6,0.3333333333333333,0.3333333333333333,0.5,0.9322222222222223,0,7.833333333333333
Sebastián Villa,2022,Left Winger,26,24,1,3,77.5,0,0.041666666666666664,0.125,0.16666666666666666,5,24,5,0.2,0.6,0.25,0.8611111111111112,1,4.8
Nicolás Valentini,2022,Centre-Back,21,37,1,0,82.7,0,0.02702702702702703,0.0,0.02702702702702703,3,19,3,0.3333333333333333,0.0,1.0,0.9188888888888889,0,12.333333333333334
Frank Fabra,2022,Left-Back,31,36,0,2,84.3,0,0.0,0.05555555555555555,0.05555555555555555,10,29,10,0.0,0.2,0.0,0.9366666666666666,0,3.6
Alan Varela,2022,Defensive Midfield,20,34,1,1,81.6,0,0.029411764705882353,0.029411764705882353,0.058823529411764705,4,18,4,0.25,0.25,0.5,0.9066666666666666,0,8.5
Equi Fernández,2022,Defensive Midfield,19,43,0,2,80.7,0,0.0,0.046511627906976744,0.046511627906976744,4,17,4,0.0,0.5,0.0,0.8966666666666667,0,10.75
Norberto Briasco,2022,Right Winger,26,23,1,2,66.2,0,0.043478260869565216,0.08695652173913043,0.13043478260869565,3,24,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7355555555555556,1,7.666666666666667
Sergio Romero,2022,Goalkeeper,35,49,0,0,0.0,0,0.0,0.0,0.0,2,33,2,0.0,0.0,0.0,0.0,0,24.5
Agustín Sández,2022,Left-Back,21,13,1,0,79.7,0,0.07692307692307693,0.0,0.07692307692307693,4,19,4,0.25,0.0,1.0,0.8855555555555555,0,3.25
Bruno Valdez,2022,Centre-Back,29,33,0,0,78.5,0,0.0,0.0,0.0,1,27,1,0.0,0.0,0.0,0.8722222222222222,0,33.0
Marcos Rojo,2022,Centre-Back,32,16,1,0,81.7,0,0.0625,0.0,0.0625,5,30,5,0.2,0.0,1.0,0.9077777777777778,0,3.2
Facundo Roncaglia,2022,Centre-Back,35,23,1,0,86.6,0,0.043478260869565216,0.0,0.043478260869565216,4,33,4,0.25,0.0,1.0,0.9622222222222222,0,5.75
Juan Ramírez,2022,Central Midfield,29,23,0,1,85.5,0,0.0,0.043478260869565216,0.043478260869565216,3,27,3,0.0,0.3333333333333333,0.0,0.95,0,7.666666666666667
Esteban Rolón,2022,Defensive Midfield,27,10,0,1,86.4,0,0.0,0.1,0.1,2,25,2,0.0,0.5,0.0,0.9600000000000001,0,5.0
Jorman Campuzano,2022,Defensive Midfield,26,17,0,0,89.4,0,0.0,0.0,0.0,6,24,6,0.0,0.0,0.0,0.9933333333333334,0,2.8333333333333335
Javier García,2022,Goalkeeper,35,11,0,0,0.0,0,0.0,0.0,0.0,9,33,9,0.0,0.0,0.0,0.0,0,1.2222222222222223
Aarón Anselmino,2022,Centre-Back,17,5,0,0,82.9,0,0.0,0.0,0.0,2,15,2,0.0,0.0,0.0,0.9211111111111112,0,2.5
Jabes Saralegui,2022,Central Midfield,19,4,0,0,85.9,0,0.0,0.0,0.0,2,17,2,0.0,0.0,0.0,0.9544444444444445,0,2.0
Diego González,2022,Defensive Midfield,34,7,0,0,89.4,0,0.0,0.0,0.0,4,32,4,0.0,0.0,0.0,0.9933333333333334,0,1.75
Nicolás Orsini,2022,Centre-Forward,27,4,0,0,65.2,0,0.0,0.0,0.0,2,25,2,0.0,0.0,0.0,0.7244444444444444,1,2.0
Nahuel Genez,2022,Left-Back,19,1,0,0,83.0,0,0.0,0.0,0.0,1,17,1,0.0,0.0,0.0,0.9222222222222223,0,1.0
Brandon Cortés,2022,Attacking Midfield,21,1,0,0,84.6,0,0.0,0.0,0.0,1,19,1,0.0,0.0,0.0,0.94,1,1.0
Gonzalo Morales,2022,Centre-Forward,19,2,0,0,66.3,0,0.0,0.0,0.0,1,17,1,0.0,0.0,0.0,0.7366666666666666,1,2.0
Sebastián Villa,2021,Left Winger,25,42,11,15,66.5,1,0.2619047619047619,0.35714285714285715,0.6190476190476191,5,22,5,2.2,3.0,0.4230769230769231,0.7388888888888889,1,8.4
Darío Benedetto,2021,Centre-Forward,31,42,19,3,66.3,1,0.4523809523809524,0.07142857142857142,0.5238095238095238,7,28,7,2.7142857142857144,0.42857142857142855,0.8636363636363636,0.7366666666666666,1,6.0
