nombre,temporada,posicion,edad,partidos,goles,asistencias,probabilidad,prediccion,etiqueta
Darío Benedetto,2017,Centre-Forward,27,17,14,6,0.9999999999996148,1,1
Darío Benedetto,2016,Centre-Forward,26,28,24,3,0.999999999985395,1,1
Jonathan Calleri,2014,Centre-Forward,20,51,21,11,0.9999999995480517,1,1
Martín Palermo,2007,Centre-Forward,33,48,31,9,0.9999999993122499,1,1
Martín Palermo,2006,Centre-Forward,32,46,28,8,0.999999996748058,1,1
Juan Román Riquelme,2001,Attacking Midfield,23,26,10,14,0.9999999966438124,1,1
Juan Román Riquelme,2006,Attacking Midfield,28,26,10,11,0.9999999734861169,1,1
Martín Palermo,2004,Centre-Forward,30,41,22,6,0.9999999172249949,1,1
Rodrigo Palacio,2006,Centre-Forward,24,44,23,9,0.9999998990319645,1,1
Ramón Ábila,2017,Centre-Forward,27,24,13,5,0.9999998748769748,1,1
Martín Palermo,2000,Centre-Forward,26,18,11,1,0.9999998546683198,1,1
Martín Palermo,2008,Centre-Forward,34,26,12,6,0.9999997809672685,1,1
Rodrigo Palacio,2007,Centre-Forward,25,47,17,18,0.9999996410936347,1,1
Carlos Tévez,2002,Centre-Forward,18,42,16,15,0.9999995636588833,1,1
Guillermo Barros Schelotto,2001,Centre-Forward,28,28,10,11,0.9999995353941737,1,1
Marcelo Delgado,2002,Centre-Forward,29,45,18,13,0.9999994079992832,1,1
Rodrigo Palacio,2005,Centre-Forward,23,36,22,0,0.9999993325835275,1,1
Edinson Cavani,2023,Centre-Forward,36,39,20,1,0.9999993137257168,1,1
Juan Román Riquelme,2007,Attacking Midfield,29,22,7,8,0.9999991779288863,1,1
Guillermo Barros Schelotto,2002,Centre-Forward,29,29,15,3,0.9999990125781275,1,1
Martín Palermo,2005,Centre-Forward,31,38,19,3,0.9999987960732014,1,1
Carlos Tévez,2003,Centre-Forward,19,43,18,10,0.9999984446432788,1,1
Andrés Guglielminpietro,2004,Left Midfield,30,33,11,5,0.9999977204117547,1,1
Juan Román Riquelme,2000,Attacking Midfield,22,41,13,12,0.9999962138218286,1,1
Darío Cvitanich,2011,Centre-Forward,27,40,10,5,0.9999935289023592,1,1
Daniel Osvaldo,2014,Centre-Forward,28,16,7,2,0.9999928764546798,1,1
Cristian Pavón,2015,Right-Back,19,15,7,3,0.9999921209515961,1,1
Darío Benedetto,2021,Centre-Forward,31,42,19,3,0.999991321566779,1,1
Martín Palermo,2009,Centre-Forward,35,36,16,2,0.9999891147907835,1,1
Carlos Tévez,2019,Centre-Forward,35,34,14,3,0.9999842493568627,1,1
Carlos Tévez,2015,Centre-Forward,31,28,11,4,0.9999841150862424,1,1
Emmanuel Gigliotti,2013,Centre-Forward,26,45,18,2,0.9999830023102171,1,1
Darío Benedetto,2015,Centre-Forward,25,5,2,1,0.9999823186843028,1,1
Juan Román Riquelme,2013,Attacking Midfield,35,23,7,5,0.9999813585582387,1,1
Rodrigo Palacio,2008,Centre-Forward,26,27,10,6,0.9999791301518578,1,1
Juan Román Riquelme,2009,Attacking Midfield,31,24,3,12,0.9999778932280825,1,1
Guillermo Barros Schelotto,2003,Centre-Forward,30,33,10,9,0.9999741790830855,1,1
Sebastián Villa,2021,Left Winger,25,42,11,15,0.9999713357152173,1,1
Marcelo Delgado,2000,Centre-Forward,27,40,12,11,0.9999702094857092,1,1
Miguel Merentiel,2023,Centre-Forward,27,49,17,7,0.9999670041619093,1,1
Ramón Ábila,2019,Centre-Forward,29,27,12,2,0.9999661775665362,1,1
Guillermo Barros Schelotto,2000,Centre-Forward,27,30,11,5,0.9999598694447606,1,1
Miguel Merentiel,2022,Centre-Forward,26,49,18,5,0.9999524830675061,1,1
Eduardo Salvio,2019,Right Winger,28,36,13,6,0.9999500383475215,1,1
Mauro Zárate,2018,Centre-Forward,31,44,11,12,0.9999389194048063,1,1
Luciano Figueroa,2008,Centre-Forward,27,21,8,1,0.9999375943534526,1,1
Martín Palermo,2010,Centre-Forward,36,38,14,3,0.9999344711687252,1,1
Ramón Ábila,2018,Centre-Forward,28,32,11,6,0.9999336616613818,1,1
Cristian Pavón,2017,Right-Back,21,43,9,18,0.9999084826693512,1,1
Sebastián Battaglia,2009,Defensive Midfield,28,10,3,2,0.9999065744662394,1,1
Santiago Silva,2012,Centre-Forward,31,30,12,1,0.9998945235374854,1,1
Miguel Merentiel,2024,Centre-Forward,28,44,15,4,0.999825943944991,1,1
